Country,Country Code,Region,GDP_1995,GDP_2022,POP_1995,POP_2022
Marshall Islands,MHL,East Asia & Pacific,181385000,224606400,50702,41569
Mauritania,MRT,Sub-Saharan Africa,3279935194,7816142244,2380341,4736139
Mauritius,MUS,Sub-Saharan Africa,5121487228,13313725744,1122457,1262523
Mexico,MEX,Latin America & Caribbean,6.77E+11,1.24E+12,89969572,127504125
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,312739072.2,314218029.1,110328,114164
Moldova,MDA,Europe & Central Asia,4465702630,9005510429,2953200,2592477
Monaco,MCO,Europe & Central Asia,3405374268,..,31482,36469
Mongolia,MNG,East Asia & Pacific,3335782059,14416265967,2330334,3398366
Montenegro,MNE,Europe & Central Asia,..,4855018760,611712,616159
Morocco,MAR,Middle East & North Africa,45380874515,1.25E+11,26599048,37457971
Mozambique,MOZ,Sub-Saharan Africa,3393824644,19146424417,15594830,32969518
Myanmar,MMR,East Asia & Pacific,9925370810,73004641128,42880186,54179306
Namibia,NAM,Sub-Saharan Africa,4718971128,11187391626,1605370,2567012
Nauru,NRU,East Asia & Pacific,..,110322430.2,10316,12668
Nepal,NPL,South Asia,10627560511,33084084559,22305571,30547580
Netherlands,NLD,Europe & Central Asia,5.21E+11,8.85E+11,15459006,17703090
New Caledonia,NCL,East Asia & Pacific,..,..,193816,276780
New Zealand,NZL,East Asia & Pacific,1.03E+11,2.17E+11,3673400,5124100
Nicaragua,NIC,Latin America & Caribbean,5732892801,14728805983,4721929,6948392
Niger,NER,Sub-Saharan Africa,4104613432,14295513822,9813918,26207977
Nigeria,NGA,Sub-Saharan Africa,1.55E+11,5.35E+11,108187610,218541212
North Macedonia,MKD,Europe & Central Asia,5747928136,11318055636,1983964,2057679
Northern Mariana Islands,MNP,East Asia & Pacific,..,..,48717,49551
Norway,NOR,Europe & Central Asia,2.54E+11,4.35E+11,4359184,5457127
Oman,OMN,Middle East & North Africa,39015009844,86294680435,2172672,4576298
Pakistan,PAK,South Asia,1.25E+11,3.62E+11,133117476,235824862
Palau,PLW,East Asia & Pacific,..,..,17209,18055
Panama,PAN,Latin America & Caribbean,16601885609,67839490748,2716067,4408581
Papua New Guinea,PNG,East Asia & Pacific,11134195522,25062916150,4616439,10142619
Paraguay,PRY,Latin America & Caribbean,20358064560,41995600537,4603917,6780744
Peru,PER,Latin America & Caribbean,76917824765,2.23E+11,24449055,34049588
Philippines,PHL,East Asia & Pacific,1.19E+11,4.08E+11,69250468,115559009
Poland,POL,Europe & Central Asia,2.17E+11,6.27E+11,38594998,37561599
Portugal,PRT,Europe & Central Asia,1.58E+11,2.30E+11,10026176,10379007
Puerto Rico,PRI,Latin America & Caribbean,80794212091,95855079059,3683103,3221789
Qatar,QAT,Middle East & North Africa,..,1.72E+11,515133,2695122
Romania,ROU,Europe & Central Asia,1.04E+11,2.33E+11,22684270,18956666
Russian Federation,RUS,Europe & Central Asia,7.21E+11,1.47E+12,148375787,143555736
Rwanda,RWA,Sub-Saharan Africa,1732828552,12955698812,5686897,13776698
Samoa,WSM,East Asia & Pacific,452035056,792666457,174902,222382
San Marino,SMR,Europe & Central Asia,..,..,24886,33660
Sao Tome and Principe,STP,Sub-Saharan Africa,..,381094981.4,133077,227380
Saudi Arabia,SAU,Middle East & North Africa,3.38E+11,7.67E+11,18888857,36408820
Senegal,SEN,Sub-Saharan Africa,8501672123,25370428995,8632681,17316449
Serbia,SRB,Europe & Central Asia,21207996311,49711067565,7625357,6760087
Seychelles,SYC,Sub-Saharan Africa,717898473.4,1712729589,75304,100060
Sierra Leone,SLE,Sub-Saharan Africa,1801942658,5397195023,4324149,8605718
Singapore,SGP,East Asia & Pacific,1.07E+11,3.80E+11,3524506,5637022
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,..,1184845730,31596,43389
Slovak Republic,SVK,Europe & Central Asia,40440791792,1.03E+11,5361999,5431752
Slovenia,SVN,Europe & Central Asia,26417686105,54967666259,1989872,2108732
Solomon Islands,SLB,East Asia & Pacific,884883599.9,1371124335,375189,724273
Somalia,SOM,Sub-Saharan Africa,..,7652780448,7210930,17597511
South Africa,ZAF,Sub-Saharan Africa,1.93E+11,3.60E+11,43986084,59893885
South Sudan,SSD,Sub-Saharan Africa,..,..,5302042,10913164
Spain,ESP,Europe & Central Asia,7.95E+11,1.31E+12,39724050,47615034
Sri Lanka,LKA,South Asia,29548935165,88459606159,18177572,22181000
St. Kitts and Nevis,KNA,Latin America & Caribbean,495858789,975331198.2,42550,47657
St. Lucia,LCA,Latin America & Caribbean,1309758586,1934921233,152348,179857
St. Martin (French part),MAF,Latin America & Caribbean,..,..,29435,31791
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,505122450.4,879437045.9,114174,103948
Sudan,SDN,Sub-Saharan Africa,43113169726,78965713060,23290602,46874204
Suriname,SUR,Latin America & Caribbean,2656751986,4377160561,434490,618040
Sweden,SWE,Europe & Central Asia,3.06E+11,5.82E+11,8826939,10486941
Switzerland,CHE,Europe & Central Asia,4.74E+11,7.76E+11,7040687,8769741
Syrian Arab Republic,SYR,Middle East & North Africa,17368943361,..,14313450,22125249
